127.0.0.1 - - [26/Jul/2023:09:01:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/ HTTP/1.1" 200 17081
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/dist/css/AdminLTE.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/dist/css/skins/skin-blue.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/dist/img/user2-160x160.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/dist/js/adminlte.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /test/resources/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:30 +0900] "GET /test/board/login HTTP/1.1" 200 17766
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:35 +0900] "POST /test/board/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:01:35 +0900] "GET /test/index HTTP/1.1" 200 17124
0:0:0:0:0:0:0:1 - - [26/Jul/2023:09:18:21 +0900] "GET /test/board/login HTTP/1.1" 200 17766
